"Time","max","p95","p90","min","mean"
2024-08-09 03:11:19,3.24 ms,3.24 ms,3.24 ms,3.24 ms,3.24 ms
2024-08-09 03:11:20,5.53 ms,5.53 ms,5.53 ms,5.53 ms,5.53 ms
2024-08-09 03:11:21,8.31 ms,8.31 ms,8.31 ms,8.31 ms,8.31 ms
2024-08-09 03:11:22,4.12 ms,4.12 ms,4.12 ms,4.12 ms,4.12 ms
2024-08-09 03:11:23,40.0 ms,40.0 ms,40.0 ms,40.0 ms,40.0 ms
2024-08-09 03:11:24,4.09 ms,4.09 ms,4.09 ms,4.09 ms,4.09 ms
2024-08-09 03:11:25,7.98 ms,7.98 ms,7.98 ms,7.98 ms,7.98 ms
2024-08-09 03:11:26,7.53 ms,7.53 ms,7.53 ms,7.53 ms,7.53 ms
2024-08-09 03:11:27,15.0 ms,15.0 ms,15.0 ms,15.0 ms,15.0 ms
2024-08-09 03:11:28,1.55 ms,1.55 ms,1.55 ms,1.55 ms,1.55 ms
2024-08-09 03:11:29,3.01 ms,3.01 ms,3.01 ms,3.01 ms,3.01 ms
2024-08-09 03:11:30,1.58 ms,1.58 ms,1.58 ms,1.58 ms,1.58 ms
2024-08-09 03:11:32,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:33,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:11:34,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:11:35,32.6 ms,32.6 ms,32.6 ms,32.6 ms,32.6 ms
2024-08-09 03:11:36,13.1 ms,13.1 ms,13.1 ms,13.1 ms,13.1 ms
2024-08-09 03:11:37,2.53 ms,2.53 ms,2.53 ms,2.53 ms,2.53 ms
2024-08-09 03:11:38,1.96 ms,1.96 ms,1.96 ms,1.96 ms,1.96 ms
2024-08-09 03:11:39,1.55 ms,1.55 ms,1.55 ms,1.55 ms,1.55 ms
2024-08-09 03:11:40,1.00 ms,1.00 ms,1.00 ms,1.00 ms,1.00 ms
2024-08-09 03:11:41,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:42,1.52 ms,1.52 ms,1.52 ms,1.52 ms,1.52 ms
2024-08-09 03:11:43,2.04 ms,2.04 ms,2.04 ms,2.04 ms,2.04 ms
2024-08-09 03:11:44,1.62 ms,1.62 ms,1.62 ms,1.62 ms,1.62 ms
2024-08-09 03:11:45,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:46,1.82 ms,1.82 ms,1.82 ms,1.82 ms,1.82 ms
2024-08-09 03:11:47,3.02 ms,3.02 ms,3.02 ms,3.02 ms,3.02 ms
2024-08-09 03:11:48,3.89 ms,3.89 ms,3.89 ms,3.89 ms,3.89 ms
2024-08-09 03:11:49,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:50,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:51,0.518 ms,0.518 ms,0.518 ms,0.518 ms,0.518 ms
2024-08-09 03:11:52,2.04 ms,2.04 ms,2.04 ms,2.04 ms,2.04 ms
2024-08-09 03:11:53,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:54,1.57 ms,1.57 ms,1.57 ms,1.57 ms,1.57 ms
2024-08-09 03:11:55,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:56,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:11:57,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:58,0.520 ms,0.520 ms,0.520 ms,0.520 ms,0.520 ms
2024-08-09 03:11:59,1.55 ms,1.55 ms,1.55 ms,1.55 ms,1.55 ms
2024-08-09 03:12:00,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:12:01,1.52 ms,1.52 ms,1.52 ms,1.52 ms,1.52 ms
2024-08-09 03:12:02,2.55 ms,2.55 ms,2.55 ms,2.55 ms,2.55 ms
2024-08-09 03:12:03,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:12:04,1.98 ms,1.98 ms,1.98 ms,1.98 ms,1.98 ms
2024-08-09 03:12:05,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:12:06,1.55 ms,1.55 ms,1.55 ms,1.55 ms,1.55 ms
2024-08-09 03:12:07,0.749 ms,0.749 ms,0.749 ms,0.749 ms,0.749 ms
2024-08-09 03:12:08,1.28 ms,1.28 ms,1.28 ms,1.28 ms,1.28 ms
2024-08-09 03:12:09,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:12:10,2.23 ms,2.23 ms,2.23 ms,2.23 ms,2.23 ms
2024-08-09 03:12:11,1.66 ms,1.66 ms,1.66 ms,1.66 ms,1.66 ms
2024-08-09 03:12:12,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:12:13,1.57 ms,1.57 ms,1.57 ms,1.57 ms,1.57 ms
2024-08-09 03:12:14,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:12:15,1.81 ms,1.81 ms,1.81 ms,1.81 ms,1.81 ms
2024-08-09 03:12:16,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:12:17,1.59 ms,1.59 ms,1.59 ms,1.59 ms,1.59 ms
2024-08-09 03:12:18,1.52 ms,1.52 ms,1.52 ms,1.52 ms,1.52 ms
2024-08-09 03:12:19,1.57 ms,1.57 ms,1.57 ms,0.546 ms,1.22 ms
2024-08-09 03:12:20,4.39 ms,4.39 ms,4.39 ms,1.07 ms,2.13 ms
2024-08-09 03:12:21,2.13 ms,2.13 ms,2.12 ms,1.53 ms,1.75 ms
2024-08-09 03:12:22,2.72 ms,2.72 ms,2.58 ms,1.13 ms,1.94 ms
2024-08-09 03:12:23,2.90 ms,2.90 ms,2.65 ms,0.518 ms,1.76 ms
2024-08-09 03:12:24,4.14 ms,4.12 ms,4.12 ms,1.52 ms,2.72 ms
2024-08-09 03:12:25,32.6 ms,32.0 ms,32.0 ms,1.20 ms,8.85 ms
2024-08-09 03:12:26,6.17 ms,5.08 ms,5.08 ms,2.15 ms,3.53 ms
2024-08-09 03:12:27,3.67 ms,3.64 ms,3.64 ms,2.30 ms,3.03 ms
2024-08-09 03:12:28,15.5 ms,14.3 ms,13.1 ms,1.54 ms,5.07 ms
2024-08-09 03:12:29,3.86 ms,3.46 ms,3.26 ms,1.53 ms,2.44 ms
2024-08-09 03:12:30,5.65 ms,5.04 ms,4.87 ms,1.54 ms,3.16 ms
2024-08-09 03:12:31,3.98 ms,3.95 ms,3.84 ms,1.13 ms,2.98 ms
2024-08-09 03:12:32,3.63 ms,3.53 ms,3.25 ms,1.52 ms,2.46 ms
2024-08-09 03:12:33,2.90 ms,2.74 ms,2.72 ms,1.53 ms,2.15 ms
2024-08-09 03:12:34,3.62 ms,3.51 ms,3.20 ms,1.52 ms,2.40 ms
2024-08-09 03:12:35,4.01 ms,3.70 ms,3.38 ms,1.53 ms,2.62 ms
2024-08-09 03:12:36,3.54 ms,3.36 ms,3.19 ms,1.52 ms,2.53 ms
2024-08-09 03:12:37,5.08 ms,4.37 ms,2.89 ms,1.55 ms,2.47 ms
2024-08-09 03:12:38,7.03 ms,6.54 ms,6.07 ms,0.511 ms,3.26 ms
2024-08-09 03:12:39,13.4 ms,10.9 ms,5.97 ms,1.17 ms,4.18 ms
2024-08-09 03:12:40,9.90 ms,9.29 ms,8.95 ms,1.52 ms,4.34 ms
2024-08-09 03:12:41,7.28 ms,5.87 ms,5.65 ms,1.53 ms,3.21 ms
2024-08-09 03:12:42,7.20 ms,6.17 ms,5.46 ms,1.53 ms,3.36 ms
2024-08-09 03:12:43,7.44 ms,6.44 ms,5.78 ms,1.02 ms,3.29 ms
2024-08-09 03:12:44,5.98 ms,5.22 ms,4.82 ms,0.519 ms,3.01 ms
2024-08-09 03:12:45,5.66 ms,5.26 ms,4.74 ms,1.52 ms,3.14 ms
2024-08-09 03:12:46,10.1 ms,7.91 ms,5.88 ms,1.53 ms,3.83 ms
2024-08-09 03:12:47,8.13 ms,6.27 ms,5.76 ms,1.53 ms,3.67 ms
2024-08-09 03:12:48,5.81 ms,5.03 ms,4.46 ms,1.52 ms,3.08 ms
2024-08-09 03:12:49,5.91 ms,5.60 ms,5.33 ms,1.52 ms,3.40 ms
2024-08-09 03:12:50,8.47 ms,7.83 ms,6.93 ms,1.52 ms,3.95 ms
2024-08-09 03:12:51,13.0 ms,11.3 ms,11.0 ms,1.53 ms,6.19 ms
2024-08-09 03:12:52,8.70 ms,8.23 ms,7.73 ms,2.45 ms,5.38 ms
2024-08-09 03:12:53,11.0 ms,10.7 ms,9.68 ms,1.57 ms,5.99 ms
2024-08-09 03:12:54,10.7 ms,9.58 ms,9.14 ms,0.522 ms,4.67 ms
2024-08-09 03:12:55,6.56 ms,6.12 ms,4.80 ms,1.24 ms,3.11 ms
2024-08-09 03:12:56,7.38 ms,6.86 ms,6.68 ms,1.13 ms,3.56 ms
2024-08-09 03:12:57,7.47 ms,6.95 ms,5.85 ms,0.971 ms,3.40 ms
2024-08-09 03:12:58,17.3 ms,7.46 ms,6.91 ms,1.12 ms,4.51 ms
2024-08-09 03:12:59,6.76 ms,6.05 ms,4.65 ms,1.52 ms,3.28 ms
2024-08-09 03:13:00,8.22 ms,7.97 ms,6.32 ms,1.18 ms,3.84 ms
2024-08-09 03:13:01,6.59 ms,6.34 ms,5.59 ms,1.19 ms,3.53 ms
2024-08-09 03:13:02,8.40 ms,6.78 ms,6.10 ms,1.52 ms,3.92 ms
2024-08-09 03:13:03,5.38 ms,5.03 ms,4.80 ms,1.53 ms,3.14 ms
2024-08-09 03:13:04,6.12 ms,5.34 ms,4.45 ms,0.512 ms,2.99 ms
2024-08-09 03:13:05,9.68 ms,8.84 ms,6.36 ms,1.08 ms,4.01 ms
2024-08-09 03:13:06,11.3 ms,10.9 ms,10.7 ms,1.53 ms,6.10 ms
2024-08-09 03:13:07,37.4 ms,35.4 ms,29.1 ms,3.16 ms,16.7 ms
2024-08-09 03:13:08,31.3 ms,26.1 ms,25.2 ms,2.65 ms,13.3 ms
2024-08-09 03:13:09,49.2 ms,37.2 ms,36.3 ms,2.70 ms,16.2 ms
2024-08-09 03:13:10,40.4 ms,29.3 ms,21.5 ms,2.26 ms,11.4 ms
2024-08-09 03:13:11,12.5 ms,11.7 ms,8.59 ms,1.56 ms,5.09 ms
2024-08-09 03:13:12,62.8 ms,18.3 ms,16.8 ms,2.54 ms,8.98 ms
2024-08-09 03:13:13,26.2 ms,22.6 ms,19.9 ms,2.03 ms,10.00 ms
2024-08-09 03:13:14,15.1 ms,9.69 ms,8.55 ms,1.55 ms,4.91 ms
2024-08-09 03:13:15,74.4 ms,44.7 ms,42.2 ms,2.11 ms,17.0 ms
2024-08-09 03:13:16,19.5 ms,15.8 ms,14.2 ms,1.22 ms,8.35 ms
2024-08-09 03:13:17,8.70 ms,8.20 ms,7.68 ms,0.515 ms,5.58 ms
2024-08-09 03:13:18,15.8 ms,14.0 ms,12.4 ms,1.44 ms,7.34 ms
2024-08-09 03:13:19,36.3 ms,31.7 ms,18.6 ms,1.15 ms,10.5 ms
2024-08-09 03:13:20,17.1 ms,15.7 ms,9.20 ms,1.53 ms,6.14 ms
2024-08-09 03:13:21,16.5 ms,10.4 ms,8.73 ms,1.09 ms,5.02 ms
2024-08-09 03:13:22,8.16 ms,7.16 ms,6.24 ms,0.509 ms,4.07 ms
2024-08-09 03:13:23,7.61 ms,7.06 ms,6.48 ms,1.08 ms,3.74 ms
2024-08-09 03:13:24,6.11 ms,5.82 ms,5.62 ms,0.658 ms,3.30 ms
2024-08-09 03:13:25,10.4 ms,8.57 ms,6.63 ms,0.516 ms,3.92 ms
2024-08-09 03:13:26,13.0 ms,12.6 ms,12.1 ms,1.54 ms,6.45 ms
2024-08-09 03:13:27,9.10 ms,7.09 ms,6.85 ms,0.517 ms,4.48 ms
2024-08-09 03:13:28,6.60 ms,5.41 ms,5.02 ms,1.11 ms,3.27 ms
2024-08-09 03:13:29,6.33 ms,5.63 ms,5.47 ms,0.510 ms,3.43 ms
2024-08-09 03:13:30,8.24 ms,7.19 ms,5.83 ms,0.522 ms,3.70 ms
2024-08-09 03:13:31,6.33 ms,5.69 ms,5.47 ms,0.514 ms,3.20 ms
2024-08-09 03:13:32,7.04 ms,5.72 ms,5.47 ms,0.511 ms,3.55 ms
2024-08-09 03:13:33,7.00 ms,4.82 ms,4.52 ms,0.515 ms,3.18 ms
2024-08-09 03:13:34,20.7 ms,7.76 ms,6.79 ms,0.520 ms,3.95 ms
2024-08-09 03:13:35,8.11 ms,6.86 ms,5.68 ms,0.510 ms,3.71 ms
2024-08-09 03:13:36,7.90 ms,7.24 ms,6.43 ms,0.549 ms,3.74 ms
2024-08-09 03:13:37,16.1 ms,15.4 ms,9.10 ms,1.08 ms,4.89 ms
2024-08-09 03:13:38,9.44 ms,8.31 ms,6.80 ms,0.511 ms,4.02 ms
2024-08-09 03:13:39,8.93 ms,7.85 ms,7.43 ms,0.653 ms,4.35 ms
2024-08-09 03:13:40,10.2 ms,6.90 ms,5.95 ms,0.509 ms,3.71 ms
2024-08-09 03:13:41,12.0 ms,8.65 ms,8.07 ms,1.52 ms,5.64 ms
2024-08-09 03:13:42,19.4 ms,15.3 ms,14.3 ms,1.53 ms,7.64 ms
2024-08-09 03:13:43,15.5 ms,13.6 ms,11.2 ms,1.13 ms,6.27 ms
2024-08-09 03:13:44,13.6 ms,11.2 ms,9.52 ms,0.513 ms,5.53 ms
2024-08-09 03:13:45,31.7 ms,7.52 ms,6.64 ms,0.547 ms,4.46 ms
2024-08-09 03:13:46,13.3 ms,10.6 ms,8.56 ms,0.512 ms,5.45 ms
2024-08-09 03:13:47,12.4 ms,9.40 ms,7.52 ms,0.524 ms,4.56 ms
2024-08-09 03:13:48,8.50 ms,7.09 ms,6.57 ms,0.522 ms,4.41 ms
2024-08-09 03:13:49,8.11 ms,7.71 ms,7.24 ms,0.512 ms,4.07 ms
2024-08-09 03:13:50,6.64 ms,5.23 ms,4.66 ms,0.518 ms,2.89 ms
2024-08-09 03:13:51,9.91 ms,7.43 ms,6.42 ms,0.513 ms,3.89 ms
2024-08-09 03:13:52,9.29 ms,7.54 ms,7.18 ms,0.509 ms,4.02 ms
2024-08-09 03:13:53,9.25 ms,8.45 ms,7.40 ms,0.517 ms,3.72 ms
2024-08-09 03:13:54,10.9 ms,8.53 ms,7.63 ms,0.520 ms,4.10 ms
2024-08-09 03:13:55,8.05 ms,7.18 ms,6.38 ms,0.512 ms,4.03 ms
2024-08-09 03:13:56,6.17 ms,5.23 ms,4.91 ms,0.513 ms,3.27 ms
2024-08-09 03:13:57,12.0 ms,9.00 ms,7.60 ms,0.513 ms,4.51 ms
2024-08-09 03:13:58,11.1 ms,10.3 ms,8.44 ms,0.510 ms,4.75 ms
2024-08-09 03:13:59,10.3 ms,8.95 ms,7.38 ms,0.513 ms,4.26 ms
2024-08-09 03:14:00,13.9 ms,9.75 ms,8.26 ms,0.514 ms,4.75 ms
2024-08-09 03:14:01,10.3 ms,9.33 ms,7.86 ms,0.509 ms,4.45 ms
2024-08-09 03:14:02,11.2 ms,8.88 ms,8.42 ms,0.521 ms,4.68 ms
2024-08-09 03:14:03,9.87 ms,7.70 ms,7.03 ms,0.514 ms,3.64 ms
2024-08-09 03:14:04,19.1 ms,10.5 ms,9.11 ms,0.513 ms,5.31 ms
2024-08-09 03:14:05,15.4 ms,12.5 ms,9.97 ms,1.29 ms,6.07 ms
2024-08-09 03:14:06,12.6 ms,10.5 ms,8.24 ms,1.52 ms,4.93 ms
2024-08-09 03:14:07,70.3 ms,61.2 ms,21.4 ms,0.514 ms,12.9 ms
2024-08-09 03:14:08,31.8 ms,27.7 ms,23.6 ms,1.53 ms,11.9 ms
2024-08-09 03:14:09,125 ms,117 ms,104 ms,1.17 ms,35.1 ms
2024-08-09 03:14:10,71.8 ms,62.9 ms,43.6 ms,2.10 ms,15.8 ms
2024-08-09 03:14:11,44.6 ms,28.0 ms,20.0 ms,1.28 ms,10.5 ms
2024-08-09 03:14:12,32.0 ms,29.7 ms,27.5 ms,1.14 ms,13.6 ms
2024-08-09 03:14:13,44.0 ms,20.8 ms,13.0 ms,1.20 ms,7.46 ms
2024-08-09 03:14:14,22.4 ms,19.8 ms,19.2 ms,1.56 ms,10.6 ms
2024-08-09 03:14:15,28.5 ms,20.7 ms,15.3 ms,1.53 ms,8.74 ms
2024-08-09 03:14:16,37.5 ms,31.5 ms,27.6 ms,2.00 ms,15.7 ms
2024-08-09 03:14:17,49.6 ms,30.7 ms,19.5 ms,1.13 ms,11.0 ms
2024-08-09 03:14:18,29.1 ms,23.7 ms,22.2 ms,2.53 ms,13.0 ms
2024-08-09 03:14:19,42.9 ms,33.9 ms,26.6 ms,1.53 ms,12.0 ms
2024-08-09 03:14:20,15.2 ms,11.5 ms,9.95 ms,1.09 ms,6.45 ms
2024-08-09 03:14:21,97.6 ms,72.0 ms,66.1 ms,1.54 ms,25.7 ms
2024-08-09 03:14:22,35.6 ms,24.2 ms,19.6 ms,1.43 ms,10.7 ms
2024-08-09 03:14:23,36.0 ms,32.8 ms,30.5 ms,0.526 ms,12.4 ms
2024-08-09 03:14:24,9.38 ms,8.14 ms,7.48 ms,0.520 ms,4.16 ms
2024-08-09 03:14:25,11.6 ms,7.46 ms,7.17 ms,0.557 ms,4.05 ms
2024-08-09 03:14:26,10.6 ms,8.70 ms,6.54 ms,0.522 ms,3.87 ms
2024-08-09 03:14:27,16.3 ms,13.5 ms,12.1 ms,0.512 ms,5.46 ms
2024-08-09 03:14:28,14.6 ms,13.0 ms,10.1 ms,1.54 ms,6.22 ms
2024-08-09 03:14:29,54.8 ms,20.4 ms,12.7 ms,1.53 ms,8.92 ms
2024-08-09 03:14:30,18.6 ms,14.0 ms,11.6 ms,0.516 ms,7.11 ms
2024-08-09 03:14:31,11.8 ms,7.83 ms,7.02 ms,0.510 ms,4.84 ms
2024-08-09 03:14:32,12.1 ms,8.67 ms,7.85 ms,0.946 ms,5.10 ms
2024-08-09 03:14:33,16.3 ms,10.6 ms,8.00 ms,0.511 ms,5.53 ms
2024-08-09 03:14:34,11.9 ms,10.8 ms,9.17 ms,1.52 ms,5.79 ms
2024-08-09 03:14:35,14.3 ms,12.5 ms,11.8 ms,0.516 ms,6.86 ms
2024-08-09 03:14:36,15.4 ms,11.8 ms,10.0 ms,0.520 ms,6.08 ms
2024-08-09 03:14:37,12.6 ms,10.8 ms,9.95 ms,0.513 ms,5.87 ms
2024-08-09 03:14:38,14.4 ms,11.3 ms,9.68 ms,1.22 ms,5.68 ms
2024-08-09 03:14:39,19.6 ms,15.6 ms,12.2 ms,1.19 ms,6.59 ms
2024-08-09 03:14:40,9.07 ms,8.01 ms,7.12 ms,1.01 ms,4.40 ms
2024-08-09 03:14:41,19.0 ms,13.9 ms,11.4 ms,1.000 ms,6.15 ms
2024-08-09 03:14:42,17.4 ms,15.7 ms,14.2 ms,0.510 ms,6.93 ms
2024-08-09 03:14:43,28.0 ms,20.7 ms,15.7 ms,0.998 ms,8.04 ms
2024-08-09 03:14:44,93.6 ms,61.7 ms,51.7 ms,1.54 ms,26.0 ms
2024-08-09 03:14:45,25.9 ms,21.7 ms,20.6 ms,1.54 ms,11.3 ms
2024-08-09 03:14:46,15.4 ms,11.9 ms,10.1 ms,1.09 ms,6.35 ms
2024-08-09 03:14:47,16.1 ms,14.4 ms,9.18 ms,1.11 ms,5.35 ms
2024-08-09 03:14:48,15.4 ms,10.5 ms,8.83 ms,0.624 ms,4.86 ms
2024-08-09 03:14:49,12.3 ms,10.0 ms,9.33 ms,1.24 ms,5.70 ms
2024-08-09 03:14:50,16.7 ms,14.5 ms,12.2 ms,1.31 ms,7.83 ms
